"Featured Colour","Featured Colour"
"Featured Colours","Featured Colours"
"The SKU column cannot be empty.","The SKU column cannot be empty."
"The colour column cannot be empty.","The colour column cannot be empty."
"The store_id column must be a whole number.","The store_id column must be a whole number."
"No enabled configurable product exists with SKU ""%1"".","No enabled configurable product exists with SKU ""%1""."
"Colour ""%1"" is not an option on the %2 attribute.","Colour ""%1"" is not an option on the %2 attribute."
"SKU ""%1"" has no enabled child product in colour ""%2"".","SKU ""%1"" has no enabled child product in colour ""%2""."
"Could not resolve colour variants; see the log.","Could not resolve colour variants; see the log."
"The product was saved, but its featured colour could not be updated.","The product was saved, but its featured colour could not be updated."
